name,images
STRIPED JACQUARD T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_1_1_1.jpg?ts=1706541994987', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_2_1_1.jpg?ts=1706541995732', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_2_2_1.jpg?ts=1706541995637', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_2_3_1.jpg?ts=1706541994948', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_2_4_1.jpg?ts=1706541995686', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_2_5_1.jpg?ts=1706541995655', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_6_1_1.jpg?ts=1706026586201', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_6_2_1.jpg?ts=1706026586453', 'https://static.zara.net/photos///2024/V/0/2/p/0722/414/104/2/w/1920/0722414104_6_3_1.jpg?ts=1706026587347']"
VISCOSE BLEND KNIT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_1_1_1.jpg?ts=1704371473677', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_2_1_1.jpg?ts=1704371473561', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_2_2_1.jpg?ts=1704371474051', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_2_3_1.jpg?ts=1704371472914', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_2_4_1.jpg?ts=1704371473420', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_2_5_1.jpg?ts=1704371473274', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_6_1_1.jpg?ts=1704365294671', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_6_2_1.jpg?ts=1704365294723', 'https://static.zara.net/photos///2024/V/0/2/p/0304/416/251/2/w/1920/0304416251_6_3_1.jpg?ts=1704365295259']"
REVERSE EFFECT WASHED T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_1_1_1.jpg?ts=1705054555739', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_2_1_1.jpg?ts=1705054559214', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_2_2_1.jpg?ts=1705054562184', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_2_3_1.jpg?ts=1705054555287', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_2_4_1.jpg?ts=1705054563822', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_6_1_1.jpg?ts=1704970281309', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_6_2_1.jpg?ts=1704970281426', 'https://static.zara.net/photos///2024/V/0/2/p/6462/406/898/2/w/1920/6462406898_6_3_1.jpg?ts=1704970282733']"
COTTON KNIT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_1_1_1.jpg?ts=1705480886706', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_2_1_1.jpg?ts=1705480888901', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_2_2_1.jpg?ts=1705480888908', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_2_3_1.jpg?ts=1705480886653', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_2_4_1.jpg?ts=1705480888235', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_2_5_1.jpg?ts=1705480888420', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_6_1_1.jpg?ts=1705321537375', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_6_2_1.jpg?ts=1705321537356', 'https://static.zara.net/photos///2024/V/0/2/p/4231/426/250/2/w/1920/4231426250_6_3_1.jpg?ts=1705321540307']"
TEXTURED T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_1_1_1.jpg?ts=1706109979528', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_2_1_1.jpg?ts=1706109980124', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_2_2_1.jpg?ts=1706109979873', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_2_3_1.jpg?ts=1706109979490', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_2_4_1.jpg?ts=1706109981343', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_2_5_1.jpg?ts=1706109979225', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_6_1_1.jpg?ts=1706093229334', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_6_2_1.jpg?ts=1706093228954', 'https://static.zara.net/photos///2024/V/0/2/p/1198/410/712/2/w/1920/1198410712_6_3_1.jpg?ts=1706093231892']"
MIXED TEXT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/6224/415/428/2/w/1920/6224415428_6_1_1.jpg?ts=1704283942558', 'https://static.zara.net/photos///2024/V/0/2/p/6224/415/428/2/w/1920/6224415428_6_2_1.jpg?ts=1704283942949', 'https://static.zara.net/photos///2024/V/0/2/p/6224/415/428/2/w/1920/6224415428_6_3_1.jpg?ts=1704283942989', 'https://static.zara.net/photos///2024/V/0/2/p/6224/415/428/2/w/1920/6224415428_6_4_1.jpg?ts=1704283942847']"
SLIM FIT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_1_1_1.jpg?ts=1701345810358', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_2_1_1.jpg?ts=1701345814605', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_2_2_1.jpg?ts=1701345814625', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_2_3_1.jpg?ts=1701345810769', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_2_4_1.jpg?ts=1701345814754', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_2_5_1.jpg?ts=1701345815127', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_6_1_1.jpg?ts=1701183930571', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_6_2_1.jpg?ts=1701183930566', 'https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/1920/1501401250_6_3_1.jpg?ts=1701183932985']"
RIBBED TANK TOP,"['https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_1_1_1.jpg?ts=1706541995267', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_2_1_1.jpg?ts=1706541995399', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_2_2_1.jpg?ts=1706541995464', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_2_3_1.jpg?ts=1706541994946', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_2_4_1.jpg?ts=1706541995442', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_6_1_1.jpg?ts=1706026586420', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_6_2_1.jpg?ts=1706026586579', 'https://static.zara.net/photos///2024/V/0/2/p/0722/411/600/2/w/1920/0722411600_6_3_1.jpg?ts=1706026587471']"
BOXY FIT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_1_1_1.jpg?ts=1704883889541', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_2_1_1.jpg?ts=1704883889290', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_2_2_1.jpg?ts=1704883889026', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_2_3_1.jpg?ts=1704883889009', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_2_4_1.jpg?ts=1704883889612', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_2_5_1.jpg?ts=1704883889670', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_6_1_1.jpg?ts=1704812393644', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_6_2_1.jpg?ts=1704812393848', 'https://static.zara.net/photos///2024/V/0/2/p/5584/441/800/2/w/1920/5584441800_6_3_1.jpg?ts=1704812395547']"
TEXT PRINT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_1_1_1.jpg?ts=1706093078695', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_2_1_1.jpg?ts=1706093078176', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_2_2_1.jpg?ts=1706093077624', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_2_3_1.jpg?ts=1706093076928', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_2_4_1.jpg?ts=1706093078389', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_6_1_1.jpg?ts=1706093224262', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_6_2_1.jpg?ts=1706093224429', 'https://static.zara.net/photos///2024/V/0/2/p/5584/403/250/2/w/1920/5584403250_6_3_1.jpg?ts=1706093229553']"
STRIPED JACQUARD T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_1_1_1.jpg?ts=1707410148357', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_2_1_1.jpg?ts=1707410148150', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_2_2_1.jpg?ts=1707410147887', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_2_3_1.jpg?ts=1707410148414', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_2_4_1.jpg?ts=1707410148659', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_2_5_1.jpg?ts=1707410147970', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_6_1_1.jpg?ts=1707403681616', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_6_2_1.jpg?ts=1707403683510', 'https://static.zara.net/photos///2024/V/0/2/p/4087/421/251/2/w/1920/4087421251_6_3_1.jpg?ts=1707403683127']"
EMBROIDERED TEXT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_1_1_1.jpg?ts=1706087337052', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_2_1_1.jpg?ts=1706087338099', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_2_2_1.jpg?ts=1706087337534', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_2_3_1.jpg?ts=1706087336200', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_2_5_1.jpg?ts=1706087337659', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_6_1_1.jpg?ts=1706093230678', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_6_2_1.jpg?ts=1706093231071', 'https://static.zara.net/photos///2024/V/0/2/p/0962/453/832/2/w/1920/0962453832_6_3_1.jpg?ts=1706093232421']"
WASHED RIPPED T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_1_1_1.jpg?ts=1706541994792', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_2_1_1.jpg?ts=1706541995558', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_2_2_1.jpg?ts=1706541994952', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_2_3_1.jpg?ts=1706541995275', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_2_4_1.jpg?ts=1706541996035', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_2_5_1.jpg?ts=1706542893545', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_6_1_1.jpg?ts=1706026586248', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_6_2_1.jpg?ts=1706026586236', 'https://static.zara.net/photos///2024/V/0/2/p/0526/408/682/2/w/1920/0526408682_6_3_1.jpg?ts=1706026587526']"
SEMI-SHEER RIBBED T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_1_1_1.jpg?ts=1707215617069', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_2_1_1.jpg?ts=1707215616731', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_2_2_1.jpg?ts=1707215617741', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_2_3_1.jpg?ts=1707215616440', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_2_4_1.jpg?ts=1707215617809', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_2_5_1.jpg?ts=1707215617948', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_6_1_1.jpg?ts=1706778287054', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_6_2_1.jpg?ts=1706778286813', 'https://static.zara.net/photos///2024/V/0/2/p/0722/407/700/2/w/1920/0722407700_6_3_1.jpg?ts=1706778287621']"
ABSTRACT PRINT KNIT T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/4374/401/620/2/w/1920/4374401620_1_1_1.jpg?ts=1706691749031', 'https://static.zara.net/photos///2024/V/0/2/p/4374/401/620/2/w/1920/4374401620_2_1_1.jpg?ts=1706691749776', 'https://static.zara.net/photos///2024/V/0/2/p/4374/401/620/2/w/1920/4374401620_2_2_1.jpg?ts=1706691749837', 'https://static.zara.net/photos///2024/V/0/2/p/4374/401/620/2/w/1920/4374401620_2_3_1.jpg?ts=1706691748701', 'https://static.zara.net/photos///2024/V/0/2/p/4374/401/620/2/w/1920/4374401620_2_4_1.jpg?ts=1706691749877', 'https://static.zara.net/photos///2024/V/0/1/p/4374/401/620/2/w/1920/4374401620_6_1_1.jpg?ts=1706528448563', 'https://static.zara.net/photos///2024/V/0/1/p/4374/401/620/2/w/1920/4374401620_6_2_1.jpg?ts=1706528448589', 'https://static.zara.net/photos///2024/V/0/1/p/4374/401/620/2/w/1920/4374401620_6_3_1.jpg?ts=1706528448777']"
TEXTURED T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_1_1_1.jpg?ts=1706087337738', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_2_1_1.jpg?ts=1706087338267', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_2_2_1.jpg?ts=1706087339018', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_2_3_1.jpg?ts=1706087338704', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_2_4_1.jpg?ts=1706087339328', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_2_5_1.jpg?ts=1706087339384', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_6_1_1.jpg?ts=1706093231185', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_6_2_1.jpg?ts=1706093228761', 'https://static.zara.net/photos///2024/V/0/2/p/4092/410/700/2/w/1920/4092410700_6_3_1.jpg?ts=1706093231734']"
TEXTURED T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_1_1_1.jpg?ts=1703149766589', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_2_1_1.jpg?ts=1703149766615', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_2_2_1.jpg?ts=1703149766648', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_2_3_1.jpg?ts=1703149766585', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_2_4_1.jpg?ts=1703149766628', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_6_1_1.jpg?ts=1703000575361', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_6_2_1.jpg?ts=1703000575147', 'https://static.zara.net/photos///2024/V/0/2/p/0761/417/806/2/w/1920/0761417806_6_3_1.jpg?ts=1703000575684']"
MIXED HEART T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_1_1_1.jpg?ts=1706716000406', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_2_1_1.jpg?ts=1706716000421', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_2_2_1.jpg?ts=1706716000223', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_2_3_1.jpg?ts=1706716000567', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_2_4_1.jpg?ts=1706716000460', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_2_5_1.jpg?ts=1706716000229', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_6_1_1.jpg?ts=1706026585723', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_6_2_1.jpg?ts=1706026585705', 'https://static.zara.net/photos///2024/V/0/2/p/6224/421/250/2/w/1920/6224421250_6_3_1.jpg?ts=1706026586419']"
T-SHIRT WITH STUDDED POCKET,"['https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_1_1_1.jpg?ts=1706261249621', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_2_1_1.jpg?ts=1706261250004', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_2_2_1.jpg?ts=1706261250220', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_2_3_1.jpg?ts=1706261249757', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_2_4_1.jpg?ts=1706261250217', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_2_5_1.jpg?ts=1706261250237', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_6_1_1.jpg?ts=1706119010482', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_6_2_1.jpg?ts=1706119010517', 'https://static.zara.net/photos///2024/V/0/2/p/4087/430/800/2/w/1920/4087430800_6_3_1.jpg?ts=1706119010868']"
SHORT SLEEVE HEAVYWEIGHT T-SHIRT,"['https://static.zara.net/photos///2023/V/0/2/p/0761/323/803/2/w/1920/0761323803_1_1_1.jpg?ts=1675765525367', 'https://static.zara.net/photos///2023/V/0/2/p/0761/323/803/2/w/1920/0761323803_2_1_1.jpg?ts=1675765561813', 'https://static.zara.net/photos///2023/V/0/2/p/0761/323/803/2/w/1920/0761323803_2_2_1.jpg?ts=1675765525538', 'https://static.zara.net/photos///2023/V/0/2/p/0761/323/803/2/w/1920/0761323803_2_3_1.jpg?ts=1675765524801', 'https://static.zara.net/photos///2023/V/0/2/p/0761/323/803/2/w/1920/0761323803_2_4_1.jpg?ts=1675765568571', 'https://static.zara.net/photos///2023/V/0/2/p/0761/323/803/2/w/1920/0761323803_2_5_1.jpg?ts=1675765525065', 'https://static.zara.net/photos///2023/I/0/2/p/0761/323/803/2/w/1920/0761323803_6_1_1.jpg?ts=1695724063015', 'https://static.zara.net/photos///2023/I/0/2/p/0761/323/803/2/w/1920/0761323803_6_2_1.jpg?ts=1695724063097', 'https://static.zara.net/photos///2023/I/0/2/p/0761/323/803/2/w/1920/0761323803_6_3_1.jpg?ts=1695724063305']"
T-SHIRT WITH CONTRASTING TRIM,"['https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_1_1_1.jpg?ts=1707397968973', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_2_1_1.jpg?ts=1707397969954', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_2_2_1.jpg?ts=1707397968798', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_2_3_1.jpg?ts=1707397968804', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_2_4_1.jpg?ts=1707397969887', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_2_5_1.jpg?ts=1707397968920', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_6_1_1.jpg?ts=1707387426348', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_6_2_1.jpg?ts=1707387726146', 'https://static.zara.net/photos///2024/V/0/2/p/1501/410/712/2/w/1920/1501410712_6_3_1.jpg?ts=1707387432619']"
PHOTOGRAPHIC PATCH T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_1_1_1.jpg?ts=1701268584211', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_2_1_1.jpg?ts=1701268585800', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_2_2_1.jpg?ts=1701268585038', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_2_3_1.jpg?ts=1701268584176', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_2_4_1.jpg?ts=1701268585889', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_6_1_1.jpg?ts=1701173391754', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_6_2_1.jpg?ts=1701173391794', 'https://static.zara.net/photos///2024/V/0/2/p/5039/401/250/2/w/1920/5039401250_6_3_1.jpg?ts=1701173391914']"
SLEEVELESS TOP,"['https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_1_1_1.jpg?ts=1706093080036', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_2_1_1.jpg?ts=1706093079219', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_2_2_1.jpg?ts=1706093080680', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_2_3_1.jpg?ts=1706093076914', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_2_4_1.jpg?ts=1706093079210', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_6_1_1.jpg?ts=1706093224530', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_6_2_1.jpg?ts=1706093224291', 'https://static.zara.net/photos///2024/V/0/2/p/0722/410/250/2/w/1920/0722410250_6_3_1.jpg?ts=1706093225072']"
BASIC V-NECK T-SHIRT,"['https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_1_1_1.jpg?ts=1701787581014', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_2_1_1.jpg?ts=1701787581246', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_2_2_1.jpg?ts=1701787581445', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_2_3_1.jpg?ts=1701787581006', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_2_4_1.jpg?ts=1701787581018', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_6_1_1.jpg?ts=1701705041139', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_6_2_1.jpg?ts=1701705041105', 'https://static.zara.net/photos///2024/V/0/2/p/5584/362/250/2/w/1920/5584362250_6_3_1.jpg?ts=1701705041364']"
BASIC TRAINING T-SHIRT,"['https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_1_1_1.jpg?ts=1685087664061', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_2_1_1.jpg?ts=1685087664448', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_2_2_1.jpg?ts=1685087664408', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_2_3_1.jpg?ts=1685087664313', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_2_4_1.jpg?ts=1685087664457', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_2_5_1.jpg?ts=1685087664545', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_6_1_1.jpg?ts=1685027141513', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_6_2_1.jpg?ts=1685027141515', 'https://static.zara.net/photos///2023/I/0/2/p/4387/401/323/2/w/1920/4387401323_6_3_1.jpg?ts=1685027142076']"
