name,images
HERRINGBONE TEXTURED JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_1_1_1.jpg?ts=1704882199153', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_2_1_1.jpg?ts=1704882200234', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_2_2_1.jpg?ts=1704882200094', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_2_3_1.jpg?ts=1704882198515', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_2_4_1.jpg?ts=1704882200464', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_2_5_1.jpg?ts=1704882200287', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_6_1_1.jpg?ts=1704701698410', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_6_2_1.jpg?ts=1704701698347', 'https://static.zara.net/photos///2024/V/0/2/p/8491/401/710/2/w/1920/8491401710_6_3_1.jpg?ts=1704701699437']"
OVERSIZED CROPPED JACKET LIMITED EDITION,"['https://static.zara.net/photos///2024/V/0/1/p/4304/672/800/2/w/1920/4304672800_2_1_1.jpg?ts=1707214291832', 'https://static.zara.net/photos///2024/V/0/1/p/4304/672/800/2/w/1920/4304672800_2_5_1.jpg?ts=1707214295057', 'https://static.zara.net/photos///2024/V/0/1/p/4304/672/800/2/w/1920/4304672800_1_1_1.jpg?ts=1707214294804', 'https://static.zara.net/photos///2024/V/0/1/p/4304/672/800/2/w/1920/4304672800_2_2_1.jpg?ts=1707214292044', 'https://static.zara.net/photos///2024/V/0/1/p/4304/672/800/2/w/1920/4304672800_2_3_1.jpg?ts=1707214292577', 'https://static.zara.net/photos///2024/V/0/1/p/4304/672/800/2/w/1920/4304672800_2_4_1.jpg?ts=1707214295055', 'https://static.zara.net/photos///2024/V/0/2/p/4304/672/800/2/w/1920/4304672800_6_1_1.jpg?ts=1704701497592', 'https://static.zara.net/photos///2024/V/0/2/p/4304/672/800/2/w/1920/4304672800_6_2_1.jpg?ts=1704701497425', 'https://static.zara.net/photos///2024/V/0/2/p/4304/672/800/2/w/1920/4304672800_6_3_1.jpg?ts=1704701497817']"
LEATHER BIKER JACKET,"['https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_2_1_1.jpg?ts=1691739359088', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_2_4_1.jpg?ts=1691739358750', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_1_1_1.jpg?ts=1691739360732', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_2_2_1.jpg?ts=1691739359072', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_2_3_1.jpg?ts=1691739359042', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_2_5_1.jpg?ts=1691739361021', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_6_1_1.jpg?ts=1691665579451', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_6_2_1.jpg?ts=1691665577329', 'https://static.zara.net/photos///2023/I/0/2/p/5833/412/800/2/w/1920/5833412800_6_3_1.jpg?ts=1691665580236']"
CROPPED LEATHER JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_1_1_1.jpg?ts=1707216676311', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_2_1_1.jpg?ts=1707216677821', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_2_2_1.jpg?ts=1707216676870', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_2_3_1.jpg?ts=1707216676360', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_2_4_1.jpg?ts=1707216677681', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_2_5_1.jpg?ts=1707216678042', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_6_1_1.jpg?ts=1706778286835', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_6_2_1.jpg?ts=1706778286958', 'https://static.zara.net/photos///2024/V/0/2/p/2521/104/800/2/w/1920/2521104800_6_3_1.jpg?ts=1706778287701']"
FAUX LEATHER BOXY FIT JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_1_1_1.jpg?ts=1706111273072', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_2_1_1.jpg?ts=1706111270501', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_2_2_1.jpg?ts=1706111273023', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_2_3_1.jpg?ts=1706111268454', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_2_4_1.jpg?ts=1706111273593', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_2_5_1.jpg?ts=1706111273933', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_6_1_1.jpg?ts=1706093231131', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_6_2_1.jpg?ts=1706093230863', 'https://static.zara.net/photos///2024/V/0/2/p/8281/654/706/2/w/1920/8281654706_6_3_1.jpg?ts=1706093232764']"
FAUX LEATHER JACKET,"['https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_1_1_1.jpg?ts=1689697775755', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_2_1_1.jpg?ts=1689697776860', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_2_2_1.jpg?ts=1689697777117', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_2_3_1.jpg?ts=1689697774368', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_2_4_1.jpg?ts=1689697780000', 'https://static.zara.net/photos///2024/V/0/1/p/3427/320/800/2/w/1920/3427320800_2_5_1.jpg?ts=1702549688484', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_6_1_1.jpg?ts=1689257032458', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_6_2_1.jpg?ts=1689257032490', 'https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/1920/3427320800_6_3_1.jpg?ts=1689257040242']"
FAUX SUEDE BOMBER JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_1_1_1.jpg?ts=1703841442067', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_2_1_1.jpg?ts=1703841441670', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_2_2_1.jpg?ts=1703841442083', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_2_3_1.jpg?ts=1703841441485', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_2_4_1.jpg?ts=1703841441755', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_2_5_1.jpg?ts=1703841441911', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_6_1_1.jpg?ts=1703759577658', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_6_2_1.jpg?ts=1703759576923', 'https://static.zara.net/photos///2024/V/0/2/p/6318/600/800/2/w/1920/6318600800_6_3_1.jpg?ts=1703759578951']"
DENIM BOMBER JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_1_1_1.jpg?ts=1706691748833', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_2_1_1.jpg?ts=1706691750301', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_2_2_1.jpg?ts=1706691749606', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_2_3_1.jpg?ts=1706691748458', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_2_4_1.jpg?ts=1706691749627', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_2_5_1.jpg?ts=1706691749722', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_6_1_1.jpg?ts=1706531587307', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_6_2_1.jpg?ts=1706531587127', 'https://static.zara.net/photos///2024/V/0/2/p/0621/400/400/2/w/1920/0621400400_6_3_1.jpg?ts=1706531587739']"
BOUCLÉ TEXTURED JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_1_1_1.jpg?ts=1704800282620', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_2_1_1.jpg?ts=1704800283507', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_2_2_1.jpg?ts=1704800283298', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_2_3_1.jpg?ts=1704800281534', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_2_4_1.jpg?ts=1704800283727', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_2_5_1.jpg?ts=1704800283611', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_2_6_1.jpg?ts=1704800283666', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_6_1_1.jpg?ts=1704701698778', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_6_2_1.jpg?ts=1704701698806', 'https://static.zara.net/photos///2024/V/0/2/p/8491/402/615/2/w/1920/8491402615_6_3_1.jpg?ts=1704701699321']"
SUIT JACKET IN 100% LINEN,"['https://static.zara.net/photos///2024/V/0/1/p/4307/443/052/2/w/1920/4307443052_1_1_1.jpg?ts=1707218518485', 'https://static.zara.net/photos///2024/V/0/1/p/4307/443/052/2/w/1920/4307443052_2_1_1.jpg?ts=1707218517753', 'https://static.zara.net/photos///2024/V/0/1/p/4307/443/052/2/w/1920/4307443052_2_2_1.jpg?ts=1707218518579', 'https://static.zara.net/photos///2024/V/0/1/p/4307/443/052/2/w/1920/4307443052_2_3_1.jpg?ts=1707218518391', 'https://static.zara.net/photos///2024/V/0/1/p/4307/443/052/2/w/1920/4307443052_2_4_1.jpg?ts=1707218519027', 'https://static.zara.net/photos///2024/V/0/1/p/4307/443/052/2/w/1920/4307443052_2_6_1.jpg?ts=1707218519104', 'https://static.zara.net/photos///2024/V/0/2/p/4307/443/052/2/w/1920/4307443052_6_1_1.jpg?ts=1704970177000', 'https://static.zara.net/photos///2024/V/0/2/p/4307/443/052/2/w/1920/4307443052_6_2_1.jpg?ts=1704970177480', 'https://static.zara.net/photos///2024/V/0/2/p/4307/443/052/2/w/1920/4307443052_6_3_1.jpg?ts=1704970179971']"
